Name,Street Number and Name,Street Type ,Suffix, Region,Province,Latitude,Longitude,Datum,Type,Information Hubs,SNA,Phone ,Email ,Services ,Address,Website
Kennedy House Youth Services,10 Milner Business ,Court,,Scarborough,Ontario,43.788849,-79.235719,WGS84,Mainstream,No,Yes,(416) 299-3157,info@kennedyhouse.org,"Residential, Substance Abuse, Recreation/Leisure/Art & Crafts, Education, and Stress Management",10 Milner Business Court,http://www.khys.org/
Massey Centre for Women,1102 Broadview,Avenue,,Toronto,Ontario,43.686527,-79.356247,WGS84,Mainstream,No,Yes,(416) 425-6348,atieu@massey.ca,"Primary Health Care, Early Learning Centre, Community Referral Services, Prenatal Residential Program, Postnatal Transitional Housing Program, and Maternal Infant Mental Health",1102 Broadview Avenue,http://www.massey.ca/
Youthlink,636 Kennedy,Road,,Scarborough,Ontario,43.723982,-79.264821,WGS84,Mainstream,Yes,Yes,(416) 967-1773,,"Emergency, Youth Outreach, Counselling, Parenting & Family Supports, Music, Housing, LGBTQ2+",636 Kennedy Road,https://youthlink.ca/
St. Stephens Community House,91 Bellevue ,Avenue,,Toronto,Ontario,43.656269,-79.403763,WGS84,Mainstream,No,Yes,416-925-2103 x1255,info@sschto.ca,"Child care, Community Development & Social Action, Youth Services, Employment & Training Centre, Newcomer Services, Senior Services, Homelessness Services",91 Bellevue Avenue,https://www.sschto.ca/
Central Toronto Youth Services,65 Wellesley ,Street,East,Toronto,Ontario,43.665409,-79.3812,WGS84,Mainstream,Yes,Yes,(416) 924-2100,mail@ctys.org,"Counselling, Law Conflicts, Outreach and Community Services, there Mental Health Issues",65 Wellesley Street,https://ctys.org/
Griffin Centre,1126 Finch ,Avenue,West,Toronto,Ontario,43.768101,-79.476107,WGS84,Mainstream,No,Yes,(416) 222-1153,contact@griffincentre.org,"Counselling, Substance Use, Law Conflicts, Sexual Abuse, Developmental Disabilities, Autism, Peer and Family Conflict, and School Issues",1126 Finch Avenue,http://www.griffincentre.org/
Child Development Institute,197 Euclid,Avenue,,Toronto,Ontario,43.65115,-79.409316,WGS84,Mainstream,Yes,Yes,(416) 603-1827,info@childdevelop.ca,"Early Intervention Services, Mental Health, Family Violence Services, Child Development, and Learning Disabilities",197 Euclid Avenue,https://www.childdevelop.ca/
Humewood House,40 Humewood ,Drive,,Toronto,Ontario,43.684266,-79.427443,WGS84,Mainstream,No,Yes, (416) 651-5657,colleen.cho@humewoodhouse.com,"Individual and Family Counselling, Food Bank, Infant Daycare, School, Mentoring, Parenting and life-skills, and Pre and Postnatal Residential Services",40 Humewood Drive,http://www.humewoodhouse.com/
YMCA,15 Breadalbane,Street,,Toronto,Ontario,43.663388,-79.385149,WGS84,Mainstream,No,Yes, (416) 928-9622,memberservices@ymcagta.org,"Health & Fitness, Childcare, Youth Programs, Employment & Immigration Services, Camps & Outdoor Education",15 Breadalbane Street,https://ymcagta.org/find-a-y/toronto-ymca-family-development-centre
Jewish Family and Child service,4600 Bathurst,Street,,North York,Ontario,43.764314,-79.44183,WGS84,Mainstream,No,Yes,416 638-7800 ,info@jfandcs.com ,"Mental Health & Wellness, Poverty, Safety and Security, Child Abuse",4600 Bathurst Street,https://www.jfandcs.com/
Breakaway Addiction Services, 21 Strickland,Avenue,,Toronto,Ontario,43.643254,-79.431106,WGS84,Mainstream,Yes,Yes,416-537-9346 ,BREAKAWAY@BREAKAWAYADDICTIONS.CA,"Addiction & Supportive Housing, Family & Youth, Harm Reduction & Outreach", 21 Strickland Avenue,https://www.breakawayaddictions.ca/
Jessie's Centre,205 Parliament,Avenue,,Toronto,Ontario,43.656467,-79.364545,WGS84,Mainstream,No,Yes, (416) 365-1888,mail@jessiescentre.org,"Housing, Health, Parenting, Food Programs, Volunteer Programs, Counselling Programs",205 Parliament Avenue,https://jessiescentre.org/
